model,filename,language,topic,cer
qwen3.5_2b,en_agriculture.png,en,Agriculture,0.000723589001447178
qwen3.5_2b,ar_agriculture.png,ar,Agriculture,1.0
qwen3.5_2b,ja_agriculture.png,ja,Agriculture,0.0
qwen3.5_2b,vi_agriculture.png,vi,Agriculture,0.008863819500402902
qwen3.5_2b,zh_simp_agriculture.png,zh_simp,Agriculture,0.005714285714285714
qwen3.5_2b,zh_trad_agriculture.png,zh_trad,Agriculture,0.008571428571428572
qwen3.5_2b,en_architecture.png,en,Architecture,0.008388256440982624
qwen3.5_2b,ar_architecture.png,ar,Architecture,1.0
qwen3.5_2b,ja_architecture.png,ja,Architecture,0.024630541871921183
qwen3.5_2b,vi_architecture.png,vi,Architecture,0.0013605442176870747
qwen3.5_2b,zh_simp_architecture.png,zh_simp,Architecture,0.02413793103448276
qwen3.5_2b,zh_trad_architecture.png,zh_trad,Architecture,0.0
qwen3.5_2b,en_art.png,en,Art,0.0009852216748768472
qwen3.5_2b,ar_art.png,ar,Art,1.0
qwen3.5_2b,ja_art.png,ja,Art,0.6760259179265659
qwen3.5_2b,vi_art.png,vi,Art,0.0012422360248447205
qwen3.5_2b,zh_simp_art.png,zh_simp,Art,1.0
qwen3.5_2b,zh_trad_art.png,zh_trad,Art,0.0030959752321981426
qwen3.5_2b,en_artificial_intelligence.png,en,Artificial Intelligence,0.0012658227848101266
qwen3.5_2b,ar_artificial_intelligence.png,ar,Artificial Intelligence,1.0
qwen3.5_2b,ja_artificial_intelligence.png,ja,Artificial Intelligence,1.0
qwen3.5_2b,vi_artificial_intelligence.png,vi,Artificial Intelligence,1.0
qwen3.5_2b,zh_simp_artificial_intelligence.png,zh_simp,Artificial Intelligence,0.00390625
qwen3.5_2b,zh_trad_artificial_intelligence.png,zh_trad,Artificial Intelligence,0.00390625
qwen3.5_2b,en_biology.png,en,Biology,0.0007496251874062968
qwen3.5_2b,ar_biology.png,ar,Biology,1.0
qwen3.5_2b,ja_biology.png,ja,Biology,1.0
qwen3.5_2b,vi_biology.png,vi,Biology,0.0027906976744186047
qwen3.5_2b,zh_simp_biology.png,zh_simp,Biology,0.0014367816091954023
qwen3.5_2b,zh_trad_biology.png,zh_trad,Biology,0.6149425287356322
qwen3.5_2b,en_chemistry.png,en,Chemistry,0.0009541984732824427
qwen3.5_2b,ar_chemistry.png,ar,Chemistry,1.0
qwen3.5_2b,ja_chemistry.png,ja,Chemistry,1.0
qwen3.5_2b,vi_chemistry.png,vi,Chemistry,1.0
qwen3.5_2b,zh_simp_chemistry.png,zh_simp,Chemistry,0.010416666666666666
qwen3.5_2b,zh_trad_chemistry.png,zh_trad,Chemistry,0.0020833333333333333
qwen3.5_2b,en_computer.png,en,Computer,0.0010090817356205853
qwen3.5_2b,ar_computer.png,ar,Computer,1.0
qwen3.5_2b,ja_computer.png,ja,Computer,1.0
qwen3.5_2b,vi_computer.png,vi,Computer,0.014588859416445624
qwen3.5_2b,zh_simp_computer.png,zh_simp,Computer,0.002403846153846154
qwen3.5_2b,zh_trad_computer.png,zh_trad,Computer,0.002403846153846154
qwen3.5_2b,en_democracy.png,en,Democracy,0.0010070493454179255
qwen3.5_2b,ar_democracy.png,ar,Democracy,1.0
qwen3.5_2b,ja_democracy.png,ja,Democracy,0.023305084745762712
qwen3.5_2b,vi_democracy.png,vi,Democracy,0.013024602026049204
qwen3.5_2b,zh_simp_democracy.png,zh_simp,Democracy,0.019639934533551555
qwen3.5_2b,zh_trad_democracy.png,zh_trad,Democracy,1.0
qwen3.5_2b,en_earth.png,en,Earth,0.0015060240963855422
qwen3.5_2b,ar_earth.png,ar,Earth,1.0
qwen3.5_2b,ja_earth.png,ja,Earth,0.005571030640668524
qwen3.5_2b,vi_earth.png,vi,Earth,0.0794979079497908
qwen3.5_2b,zh_simp_earth.png,zh_simp,Earth,0.0011976047904191617
qwen3.5_2b,zh_trad_earth.png,zh_trad,Earth,1.0
qwen3.5_2b,en_electricity.png,en,Electricity,0.0012106537530266344
qwen3.5_2b,ar_electricity.png,ar,Electricity,1.0
qwen3.5_2b,ja_electricity.png,ja,Electricity,0.03333333333333333
qwen3.5_2b,vi_electricity.png,vi,Electricity,1.0
qwen3.5_2b,zh_simp_electricity.png,zh_simp,Electricity,0.00273224043715847
qwen3.5_2b,zh_trad_electricity.png,zh_trad,Electricity,1.0
qwen3.5_2b,en_fire.png,en,Fire,0.0013559322033898306
qwen3.5_2b,ar_fire.png,ar,Fire,1.0
qwen3.5_2b,ja_fire.png,ja,Fire,0.6729857819905213
qwen3.5_2b,vi_fire.png,vi,Fire,0.006382978723404255
qwen3.5_2b,zh_simp_fire.png,zh_simp,Fire,0.006134969325153374
qwen3.5_2b,zh_trad_fire.png,zh_trad,Fire,0.006134969325153374
qwen3.5_2b,en_gold.png,en,Gold,0.0033707865168539327
qwen3.5_2b,ar_gold.png,ar,Gold,1.0
qwen3.5_2b,ja_gold.png,ja,Gold,0.01910828025477707
qwen3.5_2b,vi_gold.png,vi,Gold,1.0
qwen3.5_2b,zh_simp_gold.png,zh_simp,Gold,0.059665871121718374
qwen3.5_2b,zh_trad_gold.png,zh_trad,Gold,1.0
qwen3.5_2b,en_hydrogen_isotopes.png,en,Hydrogen Isotopes,0.004932182490752158
qwen3.5_2b,ar_hydrogen_isotopes.png,ar,Hydrogen Isotopes,1.0
qwen3.5_2b,ja_hydrogen_isotopes.png,ja,Hydrogen Isotopes,0.006389776357827476
qwen3.5_2b,vi_hydrogen_isotopes.png,vi,Hydrogen Isotopes,1.0
qwen3.5_2b,zh_simp_hydrogen_isotopes.png,zh_simp,Hydrogen Isotopes,0.003125
qwen3.5_2b,zh_trad_hydrogen_isotopes.png,zh_trad,Hydrogen Isotopes,1.0
qwen3.5_2b,en_internet.png,en,Internet,0.0007473841554559044
qwen3.5_2b,ar_internet.png,ar,Internet,1.0
qwen3.5_2b,ja_internet.png,ja,Internet,0.046511627906976744
qwen3.5_2b,vi_internet.png,vi,Internet,0.011695906432748537
qwen3.5_2b,zh_simp_internet.png,zh_simp,Internet,0.004210526315789474
qwen3.5_2b,zh_trad_internet.png,zh_trad,Internet,0.0020833333333333333
qwen3.5_2b,en_iron.png,en,Iron,0.005917159763313609
qwen3.5_2b,ar_iron.png,ar,Iron,1.0
qwen3.5_2b,ja_iron.png,ja,Iron,0.004761904761904762
qwen3.5_2b,vi_iron.png,vi,Iron,1.0
qwen3.5_2b,zh_simp_iron.png,zh_simp,Iron,0.058355437665782495
