,,Similaridade,Taxa de Erro,Tokens (Predição)
,,mean,mean,mean
Modelo,Imagem,,,
InternVL3-14B,chinese.jpeg,0.9319584424886241,0.06804155751137586,231.86
InternVL3-14B,english.jpeg,0.9607421319277053,0.03925786807229469,268.02
InternVL3-14B,japanese.jpeg,0.957261190073297,0.042738809926702946,235.11
InternVL3-1B,chinese.jpeg,0.6057437997267099,0.3942562002732901,359.99
InternVL3-1B,english.jpeg,0.4340000036190314,0.5659999963809685,279.81
InternVL3-1B,japanese.jpeg,0.6260742069000845,0.3739257930999154,175.89
InternVL3-2B,chinese.jpeg,0.7943270674642854,0.20567293253571461,379.85
InternVL3-2B,english.jpeg,0.667256284447229,0.332743715552771,326.25
InternVL3-2B,japanese.jpeg,0.7892410315854218,0.2107589684145782,371.32
InternVL3-8B,chinese.jpeg,0.8898932095502805,0.11010679044971948,245.03
InternVL3-8B,english.jpeg,0.9294546499624065,0.07054535003759357,269.0
InternVL3-8B,japanese.jpeg,0.944194904192377,0.055805095807622995,236.06
